PROGRAMA,SEMESTRE,NOMBRE MODULO
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,2,ESTADISTICA DESCRIPTIVA
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,3,ESTADISTICA INFERENCIAL
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,5,FORMACION CIUDADANA
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,1,FORMACION DEL SER
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,2,FUNDAMENTOS DE MERCADEO
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,4,GESTION DE COMPRAS
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,6,GESTION DE LOGISTICA Y DISTRIBUCION
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,4,GESTION DE PRODUCTO Y PRECIO
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,5,GESTION DE VENTAS
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,5,GESTION DEL TALENTO HUMANO
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,2,INFORMATICA APLICADA
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,1,INFORMATICA BASICA
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,1,INGLES I
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,3,INGLES II
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,4,INGLES III
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,2,INGLES IV
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,4,INVESTIGACION DE MERCADOS
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,2,LEGISLACION EMPRESARIAL
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,5,LEGISLACION TRIBUTARIA
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,2,MACROECONOMIA
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,5,MARKETING MIX
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,3,MATEMATICA FINANCIERA
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,1,MATEMATICAS BASICAS
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,6,MERCADEO ELECTRONICO
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,6,MERCADEO ESTRATEGICO
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,4,METODOLOGIA DE LA INVESTIGACION
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,1,MICROECONOMIA
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,1,PENSAMIENTO ADMINISTRATIVO
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,6,PLAN DE MARKETING
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,6,PLAN DE NEGOCIOS
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,3,PROCESO ADMINISTRATIVO
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,3,PROMOCION Y PLAZA
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,3,SEGMENTACION DE MERCADOS
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,1,TECNICAS DE COMUNICACION
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,5,TRABAJO DE GRADO I
TECNOLOGIA EN GESTION COMERCIAL Y DE MERCADOS,6,TRABAJO DE GRADO II
TECNOLOGIA EN GESTION EMPRESARIAL,6,ANALISIS DEL ENTORNO
TECNOLOGIA EN GESTION EMPRESARIAL,4,ANALISIS FINANCIERO
TECNOLOGIA EN GESTION EMPRESARIAL,2,CALCULO
TECNOLOGIA EN GESTION EMPRESARIAL,3,COMERCIO EXTERIOR
TECNOLOGIA EN GESTION EMPRESARIAL,3,COMPORTAMIENTO DEL CONSUMIDOR
TECNOLOGIA EN GESTION EMPRESARIAL,2,CONTABILIDAD
TECNOLOGIA EN GESTION EMPRESARIAL,4,COSTOS Y PRESUPUESTOS
TECNOLOGIA EN GESTION EMPRESARIAL,6,DESARROLLO LOCAL
TECNOLOGIA EN GESTION EMPRESARIAL,5,DIRECCION Y CONTROL
TECNOLOGIA EN GESTION EMPRESARIAL,5,ELECTIVA
TECNOLOGIA EN GESTION EMPRESARIAL,5,EMPRENDIMIENTO
TECNOLOGIA EN GESTION EMPRESARIAL,2,ESTADISTICA DESCRIPTIVA
TECNOLOGIA EN GESTION EMPRESARIAL,3,ESTADISTICA INFERENCIAL
TECNOLOGIA EN GESTION EMPRESARIAL,5,FORMACION CIUDADANA
TECNOLOGIA EN GESTION EMPRESARIAL,1,FORMACION DEL SER
TECNOLOGIA EN GESTION EMPRESARIAL,2,FUNDAMENTOS DE MERCADEO
TECNOLOGIA EN GESTION EMPRESARIAL,5,GESTION DE COMPRAS
TECNOLOGIA EN GESTION EMPRESARIAL,3,GESTION DE LA PRODUCCION
TECNOLOGIA EN GESTION EMPRESARIAL,6,GESTION DE LOGISTICA Y DISTRIBUCION
TECNOLOGIA EN GESTION EMPRESARIAL,4,GESTION DE PRODUCTO Y PRECIO
